client_id,client_reliability_label,transaction_id,contract_id,transaction_date,payment_amt,year,month,day,weekday,entity_year_established,client_reliability,count,days_elapsed
1,perfectClient,284333,16686,27383200266,9016.68,36318,122,406,72,36108,18.0,18,240.0
2,perfectClient,175964,10944,12231479278,25950.030000000002,16144,46,170,32,16008,8.0,8,62.0
3,perfectClient,259186,16776,30352373264,4261.68,40352,124,438,72,40040,20.0,20,350.0
4,perfectClient,277113,17512,33376849439,8016.5599999999995,44386,144,562,68,44154,22.0,22,271.0
5,perfectClient,10233,3258,9007937524,5211.6900000000005,12102,46,48,14,12042,6.0,6,50.0
6,perfectClient,260877,15762,33346098568,15466.59,44384,160,454,90,44308,22.0,22,355.0
7,detrimentalClient,230797,16720,30320725605,12066.7,40352,115,343,56,40300,13.793103448275863,20,178.0
8,perfectClient,629158,38564,84846809028,58809.14,112982,364,416,176,111944,56.0,56,359.0
9,perfectClient,93962,6156,6122392504,6519.530000000001,8072,28,10,16,8016,4.0,4,3.0
10,perfectClient,328200,19032,36440205636,41416.670000000006,48422,158,592,80,48000,24.0,24,301.0
11,detrimentalClient,342883,21140,39458806868,50629.979999999996,52458,156,590,78,51974,24.142857142857142,26,354.0
12,perfectClient,140015,8958,9181774428,35950.0,12108,38,114,10,12000,6.0,6,30.0
13,perfectClient,96300,11339,34617921889,4533.33,46391,201,432,49,46046,23.0,23,73.0
14,perfectClient,233653,14532,21319055932,15949.92,28252,54,102,44,28028,14.0,14,166.0
15,perfectClient,3497,194,3002876242,487.5,4034,14,60,12,4010,2.0,2,0.0
16,perfectClient,212574,13452,18289395734,14983.26,24216,46,282,44,24108,12.0,12,119.0
17,perfectClient,256581,16224,39346659724,2309.88,52454,170,328,82,52312,26.0,26,334.0
18,perfectClient,309330,18456,36419124326,10466.67,48422,158,348,88,48288,24.0,24,302.0
19,perfectClient,96501,5558,21128450312,4695.81,28240,116,384,50,28000,14.0,14,183.0
20,perfectClient,225806,13944,18305991872,6049.96,24216,56,174,54,24120,12.0,12,124.0
21,detrimentalClient,11890,968,12008567324,1900.0,16136,60,82,28,15992,5.333333333333333,8,34.0
22,perfectClient,271910,17140,30371028464,9500.01,40352,128,532,64,40200,20.0,20,242.0
23,perfectClient,491,58,2998383374,560.0,4034,14,8,2,4000,2.0,2,0.0
24,detrimentalClient,85678,5616,24111447270,1533.36,32274,128,276,28,32256,14.222222222222221,16,180.0
25,detrimentalClient,639502,35360,51858161641,18126.66,68612,151,605,107,68544,22.23076923076923,34,158.0
26,detrimentalClient,255795,16114,21346704104,31800.02,28252,62,186,42,28154,12.25,14,118.0
27,perfectClient,355453,21870,45479233003,38441.66,60528,182,214,104,60000,30.0,30,371.0
28,perfectClient,25880,1912,12029641796,1150.0,16136,68,80,20,16024,8.0,8,91.0
29,perfectClient,298151,17836,39402128710,15269.880000000001,52456,172,178,80,51974,26.0,26,334.0
30,detrimentalClient,195933,10817,43762388606,14958.38,58497,250,510,104,58029,19.113636363636363,29,172.0
31,perfectClient,198995,12300,15267187696,27883.36,20180,52,122,32,20040,10.0,10,91.0
32,perfectClient,278683,17600,33378577430,9941.64,44386,144,582,60,44088,22.0,22,272.0
33,perfectClient,327196,19952,42441112740,13670.0,56490,192,472,90,56140,28.0,28,348.0
34,perfectClient,170750,10728,12226641078,25850.04,16144,46,114,32,16112,8.0,8,63.0
35,perfectClient,267063,16974,27365056302,32070.0,36320,94,314,44,36288,18.0,18,212.0
36,detrimentalClient,7896,368,6007134906,373.32,8068,30,74,12,8060,2.6666666666666665,4,6.0
37,perfectClient,51015,3284,3064911378,20100.04,4036,14,48,2,4030,2.0,2,0.0
38,perfectClient,382745,23214,45512597693,36491.66,60528,190,356,112,60420,30.0,30,375.0
39,perfectClient,335354,20092,42453907168,26266.6,56492,172,500,98,56420,28.0,28,343.0
40,perfectClient,323349,19706,39433923672,33231.240000000005,52456,176,430,98,52078,26.0,26,341.0
41,perfectClient,370719,22576,45498946673,37545.79,60528,190,198,94,60060,30.0,30,364.0
42,perfectClient,281785,17316,39378109254,10950.0,52454,170,692,82,52130,26.0,26,333.0
43,perfectClient,344022,20966,42460128076,51512.5,56492,182,268,100,56392,28.0,28,364.0
44,detrimentalClient,150387,9624,9192315222,6166.7,12108,42,116,6,12090,4.5,6,3.0
45,perfectClient,196397,11858,33266257533,6325.0,44384,130,438,34,44132,22.0,22,301.0
46,detrimentalClient,440351,26527,59087201482,48521.93,78680,283,785,110,78546,31.6875,39,357.0
